satellite,instrument,satellite-description,instrument-description
meteor-m-n2-4,ggak-e-skif-6,Meteor-M Number 2-4 (Meteor-M N2-4),GGAK-E / Corpuscular radiation spectrometer (GGAK-E/SKIF-6)
meteor-m-n2-4,ggak-m-rims-m,Meteor-M Number 2-4 (Meteor-M N2-4),Radio-frequency mass spectrometer - M (GGAK-M/RIMS-M)
metop-b,sem-meped,Meteorological operational satellite - B (Metop-B),SEM / Medium energy proton detector (SEM/MEPED)
metop-b,sem-ted,Meteorological operational satellite - B (Metop-B),SEM / Total Energy Detector (SEM/TED)
metop-c,sem-meped,Meteorological operational satellite - C (Metop-C),SEM / Medium energy proton detector (SEM/MEPED)
metop-c,sem-ted,Meteorological operational satellite - C (Metop-C),SEM / Total Energy Detector (SEM/TED)
mms-a,afg,Magnetospheric MultiScale mission - A (MMS-A),Analog Fluxgate Magnetometer (AFG)
mms-a,dfg,Magnetospheric MultiScale mission - A (MMS-A),Digital Fluxgate Magnetometer (DFG)
mms-a,dp,Magnetospheric MultiScale mission - A (MMS-A),Digital Fluxgate Magnetometer (DFG)
mms-a,edi,Magnetospheric MultiScale mission - A (MMS-A),Electron Drift Instrument (EDI)
mms-a,eis,Magnetospheric MultiScale mission - A (MMS-A),Energetic Ion Spectrometer (EIS)
mms-a,feeps,Magnetospheric MultiScale mission - A (MMS-A),Fly's Eye Energetic Particle Sensor (FEEPS)
mms-a,fpi,Magnetospheric MultiScale mission - A (MMS-A),Fast Plasma Instrument (FPI)
mms-a,hpca,Magnetospheric MultiScale mission - A (MMS-A),Hot Plasma Composition Analyzer (HPCA)
mms-a,scm,Magnetospheric MultiScale mission - A (MMS-A),Search Coil Magnetometer (SCM)
mms-b,afg,Magnetospheric MultiScale mission - B (MMS-B),Analog Fluxgate Magnetometer (AFG)
mms-b,dfg,Magnetospheric MultiScale mission - B (MMS-B),Digital Fluxgate Magnetometer (DFG)
mms-b,dp,Magnetospheric MultiScale mission - B (MMS-B),Digital Fluxgate Magnetometer (DFG)
mms-b,edi,Magnetospheric MultiScale mission - B (MMS-B),Electron Drift Instrument (EDI)
mms-b,eis,Magnetospheric MultiScale mission - B (MMS-B),Energetic Ion Spectrometer (EIS)
